0.05,0.5
0.051,0.5
0.052,0.5
0.053,0.5
0.054,0.5
0.055,0.5
0.056,0.5
0.057,0.5
0.058,0.5
0.059,0.5
0.06,0.5
0.061,0.5
0.062,0.5
0.063,0.5
0.064,0.5
0.065,0.48329
0.066,0.454
0.067,0.42783
0.068,0.40837
0.069,0.38707
0.07,0.37145
0.071,0.35744
0.072,0.3445
0.073,0.33367
0.074,0.32242
0.075,0.31189
0.076,0.30234
0.077,0.29464
0.078,0.28688
0.079,0.27421
0.08,0.26611
0.081,0.25917
0.082,0.25214
0.083,0.24564
0.084,0.23914
0.085,0.23334
0.086,0.22735
0.087,0.22213
0.088,0.217
0.089,0.21206
0.09,0.20726
0.091,0.20256
0.092,0.19826
0.093,0.194
0.094,0.19027
0.095,0.1857
0.096,0.18208
0.097,0.17807
0.098,0.17497
0.099,0.17144
0.1,0.16861
